!SIL	SIL
<SPOKEN_NOISE>	SPN
1046번지	1 0 4 6 f7 m4 e3 f12 m20 
1049	1 0 4 9 
104동	1 0 4 f3 m8 e20 
104번길	1 0 4 f7 m4 e3 f0 m20 e7 
104번지	1 0 4 f7 m4 e3 f12 m20 
105	1 0 5 
1050	1 0 5 0 
1051	1 0 5 1 
1051번지	1 0 5 1 f7 m4 e3 f12 m20 
1052	1 0 5 2 
1055	1 0 5 5 
1056	1 0 5 6 
1058	1 0 5 8 
105동	1 0 5 f3 m8 e20 
105번길	1 0 5 f7 m4 e3 f0 m20 e7 
105번지	1 0 5 f7 m4 e3 f12 m20 
105호	1 0 5 f18 m8 
106	1 0 6 
1060	1 0 6 0 
1061	1 0 6 1 
1063	1 0 6 3 
1064	1 0 6 4 
1065	1 0 6 5 
1066	1 0 6 6 
1066번길	1 0 6 6 f7 m4 e3 f0 m20 e7 
1067	1 0 6 7 
1069	1 0 6 9 
106길	1 0 6 f0 m20 e7 
106동	1 0 6 f3 m8 e20 
106번	1 0 6 f7 m4 e3 
106번길	1 0 6 f7 m4 e3 f0 m20 e7 
107	1 0 7 
1071	1 0 7 1 
1072번길	1 0 7 2 f7 m4 e3 f0 m20 e7 
1073	1 0 7 3 
1074	1 0 7 4 
1075	1 0 7 5 
1076	1 0 7 6 
1077	1 0 7 7 
1077번지	1 0 7 7 f7 m4 e3 f12 m20 
1078	1 0 7 8 
107길	1 0 7 f0 m20 e7 
107동	1 0 7 f3 m8 e20 
107번지	1 0 7 f7 m4 e3 f12 m20 
108	1 0 8 
1080	1 0 8 0 
1081	1 0 8 1 
1084	1 0 8 4 
1085	1 0 8 5 
1088	1 0 8 8 
108길	1 0 8 f0 m20 e7 
108동	1 0 8 f3 m8 e20 
108번길	1 0 8 f7 m4 e3 f0 m20 e7 
108에게	1 0 8 f11 m5 f0 m5 
109	1 0 9 
1090	1 0 9 0 
1091	1 0 9 1 
1092	1 0 9 2 
1093번지	1 0 9 3 f7 m4 e3 f12 m20 
1094	1 0 9 4 
1096	1 0 9 6 
1099	1 0 9 9 
109동	1 0 9 f3 m8 e20 
109번길	1 0 9 f7 m4 e3 f0 m20 e7 
109번지	1 0 9 f7 m4 e3 f12 m20 
109에게	1 0 9 f11 m5 f0 m5 
10길	1 0 f0 m20 e7 
10단지	1 0 f3 m0 e3 f12 m20 
10번	1 0 f7 m4 e3 
10번길	1 0 f7 m4 e3 f0 m20 e7 
10번지	1 0 f7 m4 e3 f12 m20 
10분	1 0 f7 m13 e3 
10차	1 0 f14 m0 
11	1 1 
110	1 1 0 
1101	1 1 0 1 
1103	1 1 0 3 
1104	1 1 0 4 
1104호	1 1 0 4 f18 m8 
1105번지	1 1 0 5 f7 m4 e3 f12 m20 
1106번지	1 1 0 6 f7 m4 e3 f12 m20 
1107	1 1 0 7 
1108동	1 1 0 8 f3 m8 e20 
1109	1 1 0 9 
110동	1 1 0 f3 m8 e20 
110번	1 1 0 f7 m4 e3 
110번길	1 1 0 f7 m4 e3 f0 m20 e7 
110번지	1 1 0 f7 m4 e3 f12 m20 
111	1 1 1 
1111	1 1 1 1 
1111번지	1 1 1 1 f7 m4 e3 f12 m20 
1112동	1 1 1 2 f3 m8 e20 
1113	1 1 1 3 
1113번지	1 1 1 3 f7 m4 e3 f12 m20 
1115	1 1 1 5 
1115번지	1 1 1 5 f7 m4 e3 f12 m20 
1116	1 1 1 6 
1116번지	1 1 1 6 f7 m4 e3 f12 m20 
1119	1 1 1 9 
1119번지	1 1 1 9 f7 m4 e3 f12 m20 
111길	1 1 1 f0 m20 e7 
111동	1 1 1 f3 m8 e20 
111번길	1 1 1 f7 m4 e3 f0 m20 e7 
111번안길	1 1 1 f7 m4 e3 f11 m0 e3 f0 m20 e7 
111번지	1 1 1 f7 m4 e3 f12 m20 
112	1 1 2 
1120	1 1 2 0 
1120번길	1 1 2 0 f7 m4 e3 f0 m20 e7 
1120번지	1 1 2 0 f7 m4 e3 f12 m20 
1121	1 1 2 1 
1122	1 1 2 2 
1123번	1 1 2 3 f7 m4 e3 
1124	1 1 2 4 
1124번	1 1 2 4 f7 m4 e3 
1124번길	1 1 2 4 f7 m4 e3 f0 m20 e7 
1125	1 1 2 5 
1125번길	1 1 2 5 f7 m4 e3 f0 m20 e7 
1125번지	1 1 2 5 f7 m4 e3 f12 m20 
1129	1 1 2 9 
112번길	1 1 2 f7 m4 e3 f0 m20 e7 
112번지	1 1 2 f7 m4 e3 f12 m20 
113	1 1 3 
1132	1 1 3 2 
1133	1 1 3 3 
1135	1 1 3 5 
1137	1 1 3 7 
1139	1 1 3 9 
113동	1 1 3 f3 m8 e20 
113번길	1 1 3 f7 m4 e3 f0 m20 e7 
113번지	1 1 3 f7 m4 e3 f12 m20 
114	1 1 4 
1141	1 1 4 1 
1142	1 1 4 2 
1142번길	1 1 4 2 f7 m4 e3 f0 m20 e7 
1143	1 1 4 3 
1144	1 1 4 4 
1146	1 1 4 6 
1147	1 1 4 7 
1148	1 1 4 8 
114동	1 1 4 f3 m8 e20 
114번길	1 1 4 f7 m4 e3 f0 m20 e7 
114번지	1 1 4 f7 m4 e3 f12 m20 
114에서	1 1 4 f11 m5 f9 m4 
115	1 1 5 
1152	1 1 5 2 
1152번지	1 1 5 2 f7 m4 e3 f12 m20 
1153	1 1 5 3 
1154	1 1 5 4 
1157	1 1 5 7 
115동	1 1 5 f3 m8 e20 
115번길	1 1 5 f7 m4 e3 f0 m20 e7 
115번지	1 1 5 f7 m4 e3 f12 m20 
116	1 1 6 
1161	1 1 6 1 
1165	1 1 6 5 
1166번지	1 1 6 6 f7 m4 e3 f12 m20 
1168	1 1 6 8 
1168번지	1 1 6 8 f7 m4 e3 f12 m20 
116동	1 1 6 f3 m8 e20 
116번길	1 1 6 f7 m4 e3 f0 m20 e7 
116번지	1 1 6 f7 m4 e3 f12 m20 
117	1 1 7 
1171	1 1 7 1 
1173	1 1 7 3 
1174	1 1 7 4 
1176	1 1 7 6 
1176번지	1 1 7 6 f7 m4 e3 f12 m20 
1177	1 1 7 7 
1179번길	1 1 7 9 f7 m4 e3 f0 m20 e7 
1179번지	1 1 7 9 f7 m4 e3 f12 m20 
117번길	1 1 7 f7 m4 e3 f0 m20 e7 
118	1 1 8 
1180	1 1 8 0 
1186	1 1 8 6 
1186번길	1 1 8 6 f7 m4 e3 f0 m20 e7 
1187	1 1 8 7 
1187번지	1 1 8 7 f7 m4 e3 f12 m20 
1189	1 1 8 9 
119	1 1 9 
1191	1 1 9 1 
1192번지	1 1 9 2 f7 m4 e3 f12 m20 
1194	1 1 9 4 
1199번지	1 1 9 9 f7 m4 e3 f12 m20 
119번길	1 1 9 f7 m4 e3 f0 m20 e7 
119번지	1 1 9 f7 m4 e3 f12 m20 
119세탁소	1 1 9 f9 m5 f16 m0 e0 f9 m8 
119안전	1 1 9 f11 m0 e3 f12 m4 e3 
119지역대	1 1 9 f12 m20 f11 m6 e0 f3 m1 
11길	1 1 f0 m20 e7 
11다길	1 1 f3 m0 f0 m20 e7 
11단지	1 1 f3 m0 e3 f12 m20 
11동	1 1 f3 m8 e20 
11번	1 1 f7 m4 e3 
11번길	1 1 f7 m4 e3 f0 m20 e7 
11번지	1 1 f7 m4 e3 f12 m20 
11시	1 1 f9 m20 
11자길	1 1 f12 m0 f0 m20 e7 
11호점	1 1 f18 m8 f12 m4 e15 
12	1 2 
120	1 2 0 
1200	1 2 0 0 
1201	1 2 0 1 
1202	1 2 0 2 
1202번지	1 2 0 2 f7 m4 e3 f12 m20 
1203	1 2 0 3 
1205	1 2 0 5 
1206번지	1 2 0 6 f7 m4 e3 f12 m20 
1208	1 2 0 8 
120길	1 2 0 f0 m20 e7 
120동	1 2 0 f3 m8 e20 
120번지	1 2 0 f7 m4 e3 f12 m20 
121	1 2 1 
1210	1 2 1 0 
1210번길	1 2 1 0 f7 m4 e3 f0 m20 e7 
1211동	1 2 1 1 f3 m8 e20 
1215	1 2 1 5 
1217	1 2 1 7 
1219	1 2 1 9 
121길	1 2 1 f0 m20 e7 
121동	1 2 1 f3 m8 e20 
121번길	1 2 1 f7 m4 e3 f0 m20 e7 
121번지	1 2 1 f7 m4 e3 f12 m20 
122	1 2 2 
1220	1 2 2 0 
1222	1 2 2 2 
1223	1 2 2 3 
1223번지	1 2 2 3 f7 m4 e3 f12 m20 
1226번지	1 2 2 6 f7 m4 e3 f12 m20 
1229	1 2 2 9 
123	1 2 3 
1230	1 2 3 0 
1231	1 2 3 1 
1232번지	1 2 3 2 f7 m4 e3 f12 m20 
1233번길	1 2 3 3 f7 m4 e3 f0 m20 e7 
1234	1 2 3 4 
1236	1 2 3 6 
1237	1 2 3 7 
1238	1 2 3 8 
1239	1 2 3 9 
123cc	1 2 3 c c 
123길	1 2 3 f0 m20 e7 
123동	1 2 3 f3 m8 e20 
123번길	1 2 3 f7 m4 e3 f0 m20 e7 
124	1 2 4 
1240	1 2 4 0 
1243	1 2 4 3 
1244	1 2 4 4 
1246	1 2 4 6 
1247	1 2 4 7 
1249	1 2 4 9 
124번길	1 2 4 f7 m4 e3 f0 m20 e7 
125	1 2 5 
1250	1 2 5 0 
1251	1 2 5 1 
1252	1 2 5 2 
1255	1 2 5 5 
1256	1 2 5 6 
1257	1 2 5 7 
1259	1 2 5 9 
125길	1 2 5 f0 m20 e7 
125번길	1 2 5 f7 m4 e3 f0 m20 e7 
126	1 2 6 
1260	1 2 6 0 
1263번지	1 2 6 3 f7 m4 e3 f12 m20 
1265	1 2 6 5 
1267	1 2 6 7 
1267번길	1 2 6 7 f7 m4 e3 f0 m20 e7 
1268	1 2 6 8 
126동	1 2 6 f3 m8 e20 
126번길	1 2 6 f7 m4 e3 f0 m20 e7 
126번지	1 2 6 f7 m4 e3 f12 m20 
127	1 2 7 
1270	1 2 7 0 
1272	1 2 7 2 
1273	1 2 7 3 
1277	1 2 7 7 
1277번지	1 2 7 7 f7 m4 e3 f12 m20 
1279	1 2 7 9 
127동	1 2 7 f3 m8 e20 
127번길	1 2 7 f7 m4 e3 f0 m20 e7 
128	1 2 8 
1280	1 2 8 0 
1281	1 2 8 1 
1286	1 2 8 6 
1287	1 2 8 7 
128가길	1 2 8 f0 m0 f0 m20 e7 
128번지	1 2 8 f7 m4 e3 f12 m20 
129	1 2 9 
1293	1 2 9 3 
1296	1 2 9 6 
1297	1 2 9 7 
1298	1 2 9 8 
129번길	1 2 9 f7 m4 e3 f0 m20 e7 
129번지	1 2 9 f7 m4 e3 f12 m20 
129호	1 2 9 f18 m8 
12길	1 2 f0 m20 e7 
12단지	1 2 f3 m0 e3 f12 m20 
12단지로	1 2 f3 m0 e3 f12 m20 f5 m8 
12번	1 2 f7 m4 e3 
12번길	1 2 f7 m4 e3 f0 m20 e7 
12번지	1 2 f7 m4 e3 f12 m20 
12시	1 2 f9 m20 
12에게	1 2 f11 m5 f0 m5 
12차	1 2 f14 m0 
13	1 3 
130	1 3 0 
1302	1 3 0 2 
1302번지	1 3 0 2 f7 m4 e3 f12 m20 
1304	1 3 0 4 
1305	1 3 0 5 
1305동	1 3 0 5 f3 m8 e20 
1306	1 3 0 6 
130길	1 3 0 f0 m20 e7 
130번	1 3 0 f7 m4 e3 
130번길	1 3 0 f7 m4 e3 f0 m20 e7 
130번안길	1 3 0 f7 m4 e3 f11 m0 e3 f0 m20 e7 
130번지	1 3 0 f7 m4 e3 f12 m20 
131	1 3 1 
1311	1 3 1 1 
131번길	1 3 1 f7 m4 e3 f0 m20 e7 
131번지	1 3 1 f7 m4 e3 f12 m20 
132	1 3 2 
1323	1 3 2 3 
1323번지	1 3 2 3 f7 m4 e3 f12 m20 
1326	1 3 2 6 
1328	1 3 2 8 
1329	1 3 2 9 
132동	1 3 2 f3 m8 e20 
132번길	1 3 2 f7 m4 e3 f0 m20 e7 
132번지	1 3 2 f7 m4 e3 f12 m20 
133	1 3 3 
1330	1 3 3 0 
1335	1 3 3 5 
1336	1 3 3 6 
1339	1 3 3 9 
134	1 3 4 
1341번지	1 3 4 1 f7 m4 e3 f12 m20 
1342	1 3 4 2 
1344	1 3 4 4 
1344번지	1 3 4 4 f7 m4 e3 f12 m20 
1345번길	1 3 4 5 f7 m4 e3 f0 m20 e7 
1348	1 3 4 8 
134길	1 3 4 f0 m20 e7 
134번길	1 3 4 f7 m4 e3 f0 m20 e7 
135	1 3 5 
1350	1 3 5 0 
1355	1 3 5 5 
1356	1 3 5 6 
135동	1 3 5 f3 m8 e20 
135번길	1 3 5 f7 m4 e3 f0 m20 e7 
136	1 3 6 
1360	1 3 6 0 
1362	1 3 6 2 
1364	1 3 6 4 
1366	1 3 6 6 
1368	1 3 6 8 
136길	1 3 6 f0 m20 e7 
136번길	1 3 6 f7 m4 e3 f0 m20 e7 
136번지	1 3 6 f7 m4 e3 f12 m20 
137	1 3 7 
1373	1 3 7 3 
1375	1 3 7 5 
1375번지	1 3 7 5 f7 m4 e3 f12 m20 
1376	1 3 7 6 
137동	1 3 7 f3 m8 e20 
137번지	1 3 7 f7 m4 e3 f12 m20 
138	1 3 8 
1380	1 3 8 0 
1384	1 3 8 4 
1385	1 3 8 5 
1387	1 3 8 7 
1388	1 3 8 8 
138동	1 3 8 f3 m8 e20 
138번길	1 3 8 f7 m4 e3 f0 m20 e7 
138번지	1 3 8 f7 m4 e3 f12 m20 
139	1 3 9 
1396	1 3 9 6 
139로	1 3 9 f5 m8 
139번길	1 3 9 f7 m4 e3 f0 m20 e7 
139번지	1 3 9 f7 m4 e3 f12 m20 
13가길	1 3 f0 m0 f0 m20 e7 
13길	1 3 f0 m20 e7 
13단지	1 3 f3 m0 e3 f12 m20 
13동	1 3 f3 m8 e20 
13번	1 3 f7 m4 e3 
13번길	1 3 f7 m4 e3 f0 m20 e7 
13번지	1 3 f7 m4 e3 f12 m20 
13일	1 3 f11 m20 e7 
13차	1 3 f14 m0 
14	1 4 
140	1 4 0 
1400	1 4 0 0 
1402번지	1 4 0 2 f7 m4 e3 f12 m20 
1403동	1 4 0 3 f3 m8 e20 
1405번길	1 4 0 5 f7 m4 e3 f0 m20 e7 
1405번지	1 4 0 5 f7 m4 e3 f12 m20 
1405에게	1 4 0 5 f11 m5 f0 m5 
1408번지	1 4 0 8 f7 m4 e3 f12 m20 
1409번지	1 4 0 9 f7 m4 e3 f12 m20 
140번길	1 4 0 f7 m4 e3 f0 m20 e7 
141	1 4 1 
1410	1 4 1 0 
1411	1 4 1 1 
1412번지	1 4 1 2 f7 m4 e3 f12 m20 
1418	1 4 1 8 
1419번지	1 4 1 9 f7 m4 e3 f12 m20 
141번길	1 4 1 f7 m4 e3 f0 m20 e7 
142	1 4 2 
1420	1 4 2 0 
1421	1 4 2 1 
1422	1 4 2 2 
1423	1 4 2 3 
1424	1 4 2 4 
1425	1 4 2 5 
1426	1 4 2 6 
1427번지	1 4 2 7 f7 m4 e3 f12 m20 
1428	1 4 2 8 
1429번길	1 4 2 9 f7 m4 e3 f0 m20 e7 
142번길	1 4 2 f7 m4 e3 f0 m20 e7 
143	1 4 3 
1431동	1 4 3 1 f3 m8 e20 
1431번지	1 4 3 1 f7 m4 e3 f12 m20 
1432	1 4 3 2 
1436	1 4 3 6 
1439	1 4 3 9 
143번길	1 4 3 f7 m4 e3 f0 m20 e7 
143번지	1 4 3 f7 m4 e3 f12 m20 
144	1 4 4 
1443	1 4 4 3 
1444	1 4 4 4 
1447	1 4 4 7 
1449	1 4 4 9 
144번길	1 4 4 f7 m4 e3 f0 m20 e7 
144번지	1 4 4 f7 m4 e3 f12 m20 
145	1 4 5 
1452	1 4 5 2 
1453	1 4 5 3 
1454	1 4 5 4 
145길	1 4 5 f0 m20 e7 
145번길	1 4 5 f7 m4 e3 f0 m20 e7 
146	1 4 6 
1460	1 4 6 0 
1466	1 4 6 6 
1467	1 4 6 7 
146번길	1 4 6 f7 m4 e3 f0 m20 e7 
146번지	1 4 6 f7 m4 e3 f12 m20 
147	1 4 7 
1470	1 4 7 0 
1471	1 4 7 1 
1472	1 4 7 2 
1474	1 4 7 4 
1474번지	1 4 7 4 f7 m4 e3 f12 m20 
1476번지	1 4 7 6 f7 m4 e3 f12 m20 
1479	1 4 7 9 
148	1 4 8 
1489	1 4 8 9 
148길	1 4 8 f0 m20 e7 
149	1 4 9 
1492	1 4 9 2 
1494	1 4 9 4 
1498	1 4 9 8 
1498번지	1 4 9 8 f7 m4 e3 f12 m20 
1499	1 4 9 9 
149길	1 4 9 f0 m20 e7 
14가길	1 4 f0 m0 f0 m20 e7 
14길	1 4 f0 m20 e7 
14단지	1 4 f3 m0 e3 f12 m20 
14번	1 4 f7 m4 e3 
14번길	1 4 f7 m4 e3 f0 m20 e7 
14번지	1 4 f7 m4 e3 f12 m20 
14에게	1 4 f11 m5 f0 m5 
15	1 5 
150	1 5 0 
1501	1 5 0 1 
1503	1 5 0 3 
1507에	1 5 0 7 f11 m5 
1507호에	1 5 0 7 f18 m8 f11 m5 
1508동	1 5 0 8 f3 m8 e20 
150길	1 5 0 f0 m20 e7 
150번길	1 5 0 f7 m4 e3 f0 m20 e7 
150번지	1 5 0 f7 m4 e3 f12 m20 
151	1 5 1 
1511	1 5 1 1 
1513	1 5 1 3 
1514	1 5 1 4 
1515	1 5 1 5 
151길	1 5 1 f0 m20 e7 
151번길	1 5 1 f7 m4 e3 f0 m20 e7 
151번지	1 5 1 f7 m4 e3 f12 m20 
152	1 5 2 
1520	1 5 2 0 
1524	1 5 2 4 
1526	1 5 2 6 
1528	1 5 2 8 
152번길	1 5 2 f7 m4 e3 f0 m20 e7 
152번지	1 5 2 f7 m4 e3 f12 m20 
153	1 5 3 
1534	1 5 3 4 
1535	1 5 3 5 
1538	1 5 3 8 
1539	1 5 3 9 
153번길	1 5 3 f7 m4 e3 f0 m20 e7 
154	1 5 4 
1540	1 5 4 0 
1543	1 5 4 3 
1545번지	1 5 4 5 f7 m4 e3 f12 m20 
1548	1 5 4 8 
154번길	1 5 4 f7 m4 e3 f0 m20 e7 
155	1 5 5 
1551	1 5 5 1 
1554	1 5 5 4 
1555	1 5 5 5 
1556	1 5 5 6 
1558	1 5 5 8 
155길	1 5 5 f0 m20 e7 
155번길	1 5 5 f7 m4 e3 f0 m20 e7 
156	1 5 6 
1563	1 5 6 3 
1563번지	1 5 6 3 f7 m4 e3 f12 m20 
1564	1 5 6 4 
1566	1 5 6 6 
1567	1 5 6 7 
1569	1 5 6 9 
156길	1 5 6 f0 m20 e7 
156번지	1 5 6 f7 m4 e3 f12 m20 
157	1 5 7 
1570	1 5 7 0 
1572	1 5 7 2 
1573	1 5 7 3 
1576	1 5 7 6 
1579	1 5 7 9 
157길	1 5 7 f0 m20 e7 
157번길	1 5 7 f7 m4 e3 f0 m20 e7 
157번지	1 5 7 f7 m4 e3 f12 m20 
158	1 5 8 
1581	1 5 8 1 
1587번지	1 5 8 7 f7 m4 e3 f12 m20 
1588	1 5 8 8 
158번지	1 5 8 f7 m4 e3 f12 m20 
159	1 5 9 
1590번지	1 5 9 0 f7 m4 e3 f12 m20 
1593	1 5 9 3 
1594번길	1 5 9 4 f7 m4 e3 f0 m20 e7 
1595번지	1 5 9 5 f7 m4 e3 f12 m20 
1596	1 5 9 6 
159번지	1 5 9 f7 m4 e3 f12 m20 
15길	1 5 f0 m20 e7 
15길에	1 5 f0 m20 e7 f11 m5 
15단지	1 5 f3 m0 e3 f12 m20 
15동	1 5 f3 m8 e20 
15번	1 5 f7 m4 e3 
15번길	1 5 f7 m4 e3 f0 m20 e7 
15번지	1 5 f7 m4 e3 f12 m20 
15호	1 5 f18 m8 
16	1 6 
160	1 6 0 
1600번지	1 6 0 0 f7 m4 e3 f12 m20 
1602호	1 6 0 2 f18 m8 
1605	1 6 0 5 
1605동	1 6 0 5 f3 m8 e20 
1605번지	1 6 0 5 f7 m4 e3 f12 m20 
1607	1 6 0 7 
1608	1 6 0 8 
160번길	1 6 0 f7 m4 e3 f0 m20 e7 
160번지	1 6 0 f7 m4 e3 f12 m20 
161	1 6 1 
1615번길	1 6 1 5 f7 m4 e3 f0 m20 e7 
161번길	1 6 1 f7 m4 e3 f0 m20 e7 
162	1 6 2 
1628	1 6 2 8 
162길	1 6 2 f0 m20 e7 
162번지	1 6 2 f7 m4 e3 f12 m20 
163	1 6 3 
1635	1 6 3 5 
1638	1 6 3 8 
1639	1 6 3 9 
163번길	1 6 3 f7 m4 e3 f0 m20 e7 
163번지	1 6 3 f7 m4 e3 f12 m20 
164	1 6 4 
1640	1 6 4 0 
1641	1 6 4 1 
1647	1 6 4 7 
1648	1 6 4 8 
1649	1 6 4 9 
164길	1 6 4 f0 m20 e7 
164번지	1 6 4 f7 m4 e3 f12 m20 
165	1 6 5 
1650	1 6 5 0 
1652	1 6 5 2 
1653번	1 6 5 3 f7 m4 e3 
1655	1 6 5 5 
1659	1 6 5 9 
165번길	1 6 5 f7 m4 e3 f0 m20 e7 
166	1 6 6 
1660	1 6 6 0 
1667	1 6 6 7 
166번길	1 6 6 f7 m4 e3 f0 m20 e7 
166번지	1 6 6 f7 m4 e3 f12 m20 
167	1 6 7 
1675	1 6 7 5 
167번길	1 6 7 f7 m4 e3 f0 m20 e7 
168	1 6 8 
1685	1 6 8 5 
1686	1 6 8 6 
168번길	1 6 8 f7 m4 e3 f0 m20 e7 
169	1 6 9 
1690	1 6 9 0 
1698번지	1 6 9 8 f7 m4 e3 f12 m20 
169번길	1 6 9 f7 m4 e3 f0 m20 e7 
169번지	1 6 9 f7 m4 e3 f12 m20 
16길	1 6 f0 m20 e7 
16단지	1 6 f3 m0 e3 f12 m20 
16동	1 6 f3 m8 e20 
16마길	1 6 f6 m0 f0 m20 e7 
16번길	1 6 f7 m4 e3 f0 m20 e7 
16번지	1 6 f7 m4 e3 f12 m20 
16차	1 6 f14 m0 
16호	1 6 f18 m8 
17	1 7 
170	1 7 0 
1701	1 7 0 1 
1709	1 7 0 9 
170길8	1 7 0 f0 m20 e7 8 
170번지	1 7 0 f7 m4 e3 f12 m20 
170번지로	1 7 0 f7 m4 e3 f12 m20 f5 m8 
171	1 7 1 
1711	1 7 1 1 
171번길	1 7 1 f7 m4 e3 f0 m20 e7 
171번지	1 7 1 f7 m4 e3 f12 m20 
172	1 7 2 
1722	1 7 2 2 
17238	1 7 2 3 8 
1725	1 7 2 5 
1728	1 7 2 8 
172번지	1 7 2 f7 m4 e3 f12 m20 
173	1 7 3 
1733	1 7 3 3 
1739	1 7 3 9 
173번지	1 7 3 f7 m4 e3 f12 m20 
174	1 7 4 
1744	1 7 4 4 
1746번길	1 7 4 6 f7 m4 e3 f0 m20 e7 
174길	1 7 4 f0 m20 e7 
174번길	1 7 4 f7 m4 e3 f0 m20 e7 
174번지	1 7 4 f7 m4 e3 f12 m20 
175	1 7 5 
1753	1 7 5 3 
1756	1 7 5 6 
1758번지	1 7 5 8 f7 m4 e3 f12 m20 
176	1 7 6 
176길	1 7 6 f0 m20 e7 
176번	1 7 6 f7 m4 e3 
176번길	1 7 6 f7 m4 e3 f0 m20 e7 
177	1 7 7 
1772번지	1 7 7 2 f7 m4 e3 f12 m20 
1774	1 7 7 4 
1779번지	1 7 7 9 f7 m4 e3 f12 m20 
177번길	1 7 7 f7 m4 e3 f0 m20 e7 
178	1 7 8 
1780번지	1 7 8 0 f7 m4 e3 f12 m20 
1788	1 7 8 8 
178번길	1 7 8 f7 m4 e3 f0 m20 e7 
178번지	1 7 8 f7 m4 e3 f12 m20 
179	1 7 9 
1790	1 7 9 0 
179번지	1 7 9 f7 m4 e3 f12 m20 
17길	1 7 f0 m20 e7 
17길에	1 7 f0 m20 e7 f11 m5 
17단지	1 7 f3 m0 e3 f12 m20 
17번	1 7 f7 m4 e3 
17번길	1 7 f7 m4 e3 f0 m20 e7 
17번지	1 7 f7 m4 e3 f12 m20 
17에게	1 7 f11 m5 f0 m5 
17차	1 7 f14 m0 
18	1 8 
180	1 8 0 
1802	1 8 0 2 
1805번지	1 8 0 5 f7 m4 e3 f12 m20 
1808	1 8 0 8 
1809	1 8 0 9 
180번길	1 8 0 f7 m4 e3 f0 m20 e7 
180번지	1 8 0 f7 m4 e3 f12 m20 
181	1 8 1 
1813에게	1 8 1 3 f11 m5 f0 m5 
181길	1 8 1 f0 m20 e7 
182	1 8 2 
1825	1 8 2 5 
182번지	1 8 2 f7 m4 e3 f12 m20 
183	1 8 3 
